stage,seconds,feature_set,preprocessing,representation,classifier
representation_transform,1603.7267100480021,fulltext,,labse:chunked_length_weighted_mean,
classifier_fit,13.348026951000065,fulltext,,labse:chunked_length_weighted_mean,logreg
prediction,0.5028206290007802,fulltext,,labse:chunked_length_weighted_mean,logreg
classifier_fit,11.363197356000455,fulltext,,labse:chunked_length_weighted_mean,linear_svc
prediction,1.2042573479993735,fulltext,,labse:chunked_length_weighted_mean,linear_svc
classifier_fit,4.006001232002745,fulltext,,labse:chunked_length_weighted_mean,sgd
prediction,0.5644400290002523,fulltext,,labse:chunked_length_weighted_mean,sgd
representation_transform,52.76240143799805,abstract+keywords,,sbert:chunked_length_weighted_mean,
classifier_fit,8.889213931000995,abstract+keywords,,sbert:chunked_length_weighted_mean,logreg
prediction,0.45796068900017417,abstract+keywords,,sbert:chunked_length_weighted_mean,logreg
classifier_fit,7.816469003999373,abstract+keywords,,sbert:chunked_length_weighted_mean,linear_svc
prediction,1.2520566069979395,abstract+keywords,,sbert:chunked_length_weighted_mean,linear_svc
classifier_fit,2.974131522998505,abstract+keywords,,sbert:chunked_length_weighted_mean,sgd
prediction,0.45652323000103934,abstract+keywords,,sbert:chunked_length_weighted_mean,sgd
representation_transform,74.32904945500195,abstract+keywords,,labse:chunked_length_weighted_mean,
classifier_fit,13.544703060000757,abstract+keywords,,labse:chunked_length_weighted_mean,logreg
prediction,0.5254691800000728,abstract+keywords,,labse:chunked_length_weighted_mean,logreg
classifier_fit,12.102677279999625,abstract+keywords,,labse:chunked_length_weighted_mean,linear_svc
prediction,1.2055955100004212,abstract+keywords,,labse:chunked_length_weighted_mean,linear_svc
classifier_fit,4.123756360000698,abstract+keywords,,labse:chunked_length_weighted_mean,sgd
prediction,0.46623569000075804,abstract+keywords,,labse:chunked_length_weighted_mean,sgd
representation_transform,1584.1689939370008,abstract+fulltext,,sbert:chunked_length_weighted_mean,
classifier_fit,8.649645419998706,abstract+fulltext,,sbert:chunked_length_weighted_mean,logreg
prediction,0.4629979290002666,abstract+fulltext,,sbert:chunked_length_weighted_mean,logreg
classifier_fit,7.406392623001011,abstract+fulltext,,sbert:chunked_length_weighted_mean,linear_svc
prediction,1.2048680370025977,abstract+fulltext,,sbert:chunked_length_weighted_mean,linear_svc
classifier_fit,2.9211633739978424,abstract+fulltext,,sbert:chunked_length_weighted_mean,sgd
prediction,0.45940318900102284,abstract+fulltext,,sbert:chunked_length_weighted_mean,sgd
representation_transform,1693.1429086790013,abstract+fulltext,,labse:chunked_length_weighted_mean,
classifier_fit,13.541873266000039,abstract+fulltext,,labse:chunked_length_weighted_mean,logreg
prediction,0.5415876589977415,abstract+fulltext,,labse:chunked_length_weighted_mean,logreg
classifier_fit,11.54079578999881,abstract+fulltext,,labse:chunked_length_weighted_mean,linear_svc
prediction,1.19106651799666,abstract+fulltext,,labse:chunked_length_weighted_mean,linear_svc
classifier_fit,4.056889092997153,abstract+fulltext,,labse:chunked_length_weighted_mean,sgd
prediction,0.469945918997837,abstract+fulltext,,labse:chunked_length_weighted_mean,sgd
representation_transform,1571.1003426919997,keywords+fulltext,,sbert:chunked_length_weighted_mean,
classifier_fit,8.582390636001946,keywords+fulltext,,sbert:chunked_length_weighted_mean,logreg
prediction,0.571514079998451,keywords+fulltext,,sbert:chunked_length_weighted_mean,logreg
classifier_fit,7.250632316001429,keywords+fulltext,,sbert:chunked_length_weighted_mean,linear_svc
prediction,1.2320652199996402,keywords+fulltext,,sbert:chunked_length_weighted_mean,linear_svc
classifier_fit,2.901191707998805,keywords+fulltext,,sbert:chunked_length_weighted_mean,sgd
prediction,0.47067402000175207,keywords+fulltext,,sbert:chunked_length_weighted_mean,sgd
representation_transform,1669.6582058950007,keywords+fulltext,,labse:chunked_length_weighted_mean,
classifier_fit,13.043998541001201,keywords+fulltext,,labse:chunked_length_weighted_mean,logreg
prediction,0.5152753090005717,keywords+fulltext,,labse:chunked_length_weighted_mean,logreg
classifier_fit,10.927754954998818,keywords+fulltext,,labse:chunked_length_weighted_mean,linear_svc
prediction,1.2901301679994504,keywords+fulltext,,labse:chunked_length_weighted_mean,linear_svc
classifier_fit,3.9978091410011984,keywords+fulltext,,labse:chunked_length_weighted_mean,sgd
prediction,0.4607877290000033,keywords+fulltext,,labse:chunked_length_weighted_mean,sgd
representation_transform,1606.266805176001,abstract+keywords+fulltext,,sbert:chunked_length_weighted_mean,
classifier_fit,8.719342940999923,abstract+keywords+fulltext,,sbert:chunked_length_weighted_mean,logreg
prediction,0.57080615799714,abstract+keywords+fulltext,,sbert:chunked_length_weighted_mean,logreg
classifier_fit,7.264636594001786,abstract+keywords+fulltext,,sbert:chunked_length_weighted_mean,linear_svc
prediction,1.2235747170016111,abstract+keywords+fulltext,,sbert:chunked_length_weighted_mean,linear_svc
classifier_fit,2.925655564002227,abstract+keywords+fulltext,,sbert:chunked_length_weighted_mean,sgd
prediction,0.6200272280002537,abstract+keywords+fulltext,,sbert:chunked_length_weighted_mean,sgd
representation_transform,1703.4666647550002,abstract+keywords+fulltext,,labse:chunked_length_weighted_mean,
classifier_fit,13.222815158998856,abstract+keywords+fulltext,,labse:chunked_length_weighted_mean,logreg
prediction,0.5864862089983944,abstract+keywords+fulltext,,labse:chunked_length_weighted_mean,logreg
classifier_fit,11.191849594000814,abstract+keywords+fulltext,,labse:chunked_length_weighted_mean,linear_svc
prediction,1.333681746997172,abstract+keywords+fulltext,,labse:chunked_length_weighted_mean,linear_svc
classifier_fit,4.037244030001602,abstract+keywords+fulltext,,labse:chunked_length_weighted_mean,sgd
prediction,0.5485758489994623,abstract+keywords+fulltext,,labse:chunked_length_weighted_mean,sgd
total,46637.685740857996,,,,
