phase,preprocessing,feature_set,representation,classifier,fit_warning,label,iterations,max_iter,converged
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Ciencias Astronómicas,805,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Ciencias Económicas,1104,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Ciencias Exactas,223,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Ciencias Informáticas,424,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Ciencias Jurídicas,40,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Ciencias Médicas,370,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Ciencias Naturales,387,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Ciencias Sociales,57238,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Ciencias Veterinarias,57,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Ciencias de la Educación,643,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Comunicación,1490,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Comunicación Social,608,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Educación,57629,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Educación Física,387,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Filosofía,1777,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Física,522,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Geografía,717,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Historia,2084,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Humanidades,194983,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Ingeniería,325,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Letras,503,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Odontología,2298,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Periodismo,728,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Psicología,40,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Química,329,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Relaciones Internacionales,44,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Sociología,2042,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Trabajo Social,141,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Urbanismo,532,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Zoología,580,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Antropología,46,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Arquitectura,25,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Astronomía,89,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Bellas Artes,402,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Bibliotecología,174,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Biología,88,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Ciencias Agrarias,176,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Ciencias Astronómicas,24,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Ciencias Económicas,342,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Ciencias Exactas,56,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Ciencias Informáticas,80,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Ciencias Jurídicas,22,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Ciencias Médicas,62,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Ciencias Naturales,23,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Ciencias Sociales,47987,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Ciencias Veterinarias,45,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Ciencias de la Educación,78,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Comunicación,44,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Comunicación Social,29,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Educación,47974,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Educación Física,113,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Filosofía,406,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Física,185,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Geografía,50,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Historia,690,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Humanidades,162852,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Ingeniería,60,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Letras,41,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Odontología,23,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Periodismo,26,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Psicología,38,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Química,37,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Relaciones Internacionales,36,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Sociología,387,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Trabajo Social,20,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Urbanismo,20,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol5e4,,Zoología,23,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Antropología,31,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Arquitectura,45,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Astronomía,37,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Bellas Artes,38,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Bibliotecología,40,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Biología,33,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Ciencias Agrarias,31,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Ciencias Astronómicas,31,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Ciencias Económicas,32,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Ciencias Exactas,40,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Ciencias Informáticas,40,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Ciencias Jurídicas,37,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Ciencias Médicas,31,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Ciencias Naturales,41,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Ciencias Sociales,41,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Ciencias Veterinarias,33,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Ciencias de la Educación,42,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Comunicación,38,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Comunicación Social,32,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Educación,40,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Educación Física,34,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Filosofía,35,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Física,36,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Geografía,33,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Historia,40,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Humanidades,42,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Ingeniería,33,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Letras,43,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Odontología,34,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Periodismo,36,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Psicología,32,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Química,32,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Relaciones Internacionales,35,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Sociología,37,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Trabajo Social,32,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Urbanismo,31,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol1e4,,Zoología,35,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Antropología,25,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Arquitectura,38,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Astronomía,30,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Bellas Artes,32,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Bibliotecología,34,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Biología,28,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Ciencias Agrarias,26,200000,True
validation,language_stopwords,fulltext,tfidf,linear_svc_c1_tol5e4,,Ciencias Astronómicas,26,200000,True
